frame,time_s,n_points,device_x,device_y,device_z,world_x,world_y,world_z
0,32.5,251,0.28186,-0.148,0.60653,-3.90063,2.84196,-0.23682
1,32.5333,235,0.28969,-0.14287,0.6113,-3.90576,2.84729,-0.24427
2,32.5667,196,0.30094,-0.14259,0.61984,-3.88827,2.84201,-0.26097
3,32.6,211,0.30793,-0.1388,0.61361,-3.89559,2.84806,-0.25752
4,32.6333,121,0.30729,-0.14335,0.6191,-3.89464,2.84243,-0.26184
5,32.6667,123,0.30784,-0.14149,0.60827,-3.88507,2.84563,-0.25657
6,32.7,133,0.31058,-0.14116,0.61651,-3.88572,2.84477,-0.26519
7,32.7333,117,0.30758,-0.13932,0.61706,-3.88239,2.84605,-0.26522
8,32.7667,93,0.30798,-0.13855,0.61664,-3.87352,2.84404,-0.26635
9,32.8,85,0.30947,-0.13486,0.6161,-3.87451,2.84791,-0.26675
10,32.8333,100,0.31049,-0.12866,0.6162,-3.87451,2.85407,-0.26801
11,32.8667,172,0.30862,-0.11606,0.5899,-3.87115,2.86863,-0.24503
12,32.9,184,0.31133,-0.11288,0.59788,-3.87141,2.87063,-0.2538
13,32.9333,177,0.31398,-0.11295,0.60564,-3.87215,2.86948,-0.26189
14,32.9667,178,0.31121,-0.10993,0.60545,-3.8617,2.86266,-0.25938
15,33.0,192,0.31668,-0.10339,0.60641,-3.8658,2.86942,-0.26273
16,33.0333,189,0.31395,-0.10053,0.60603,-3.86287,2.87201,-0.26209
17,33.0667,191,0.31092,-0.09825,0.60814,-3.85657,2.87241,-0.26477
18,33.1,185,0.30999,-0.09844,0.60866,-3.85558,2.87203,-0.265
19,33.1333,173,0.31084,-0.10022,0.60716,-3.857,2.87065,-0.26352
20,33.1667,180,0.31397,-0.10158,0.61014,-3.85687,2.87014,-0.26877
21,33.2,189,0.31582,-0.10306,0.61431,-3.8578,2.86812,-0.27301
22,33.2333,160,0.3103,-0.10187,0.60826,-3.85387,2.86984,-0.26593
23,33.2667,162,0.31059,-0.10117,0.60506,-3.85683,2.87112,-0.26274
24,33.3,163,0.3062,-0.10245,0.60298,-3.85334,2.8698,-0.25937
25,33.3333,170,0.30714,-0.10374,0.60315,-3.85439,2.86861,-0.25959
26,33.3667,188,0.30932,-0.10559,0.60446,-3.85941,2.8691,-0.26072
27,33.4,188,0.30865,-0.1066,0.59688,-3.86078,2.86945,-0.25317
28,33.4333,182,0.30972,-0.109,0.59466,-3.86273,2.86764,-0.25098
29,33.4667,197,0.30405,-0.10881,0.58247,-3.85743,2.8642,-0.2344
30,33.5,229,0.30712,-0.10504,0.57409,-3.86185,2.86986,-0.2279
31,33.5333,205,0.31194,-0.10416,0.57094,-3.8671,2.87187,-0.22638
32,33.5667,233,0.31419,-0.10303,0.57011,-3.87946,2.87395,-0.22051
33,33.6,189,0.3103,-0.10429,0.57203,-3.87549,2.87188,-0.22111
34,33.6333,217,0.31172,-0.10634,0.5717,-3.87727,2.87012,-0.22082
35,33.6667,237,0.30548,-0.10763,0.56857,-3.87624,2.86983,-0.21159
